time,state_number,algorithm
3.8276608,10,VI
0.0714932,10,PAI
3.9547324,10,VI
0.0970257,10,PAI
4.0955586,10,VI
4.096132,10,VI
4.1362187,10,VI
0.0626935,10,PAI
0.0756063,10,PAI
4.1827674,10,VI
0.0826239,10,PAI
4.2352251,10,VI
4.255689,10,VI
0.0841466,10,PAI
4.2912119,10,VI
0.0812112,10,PAI
0.0854347,10,PAI
0.0759248,10,PAI
4.3945586,10,VI
0.0637966,10,PAI
3.634798,10,HK
0.2028504,10,FT
3.8854714,10,HK
3.8688884,10,HK
3.9753273,10,HK
4.0024859,10,HK
0.2424663,10,FT
0.3757859,10,FT
4.0608598,10,HK
0.2597561,10,FT
4.1130163,10,HK
4.1354602,10,HK
0.2561006,10,FT
4.15355,10,HK
0.2580396,10,FT
0.2519246,10,FT
4.2515616,10,HK
0.2588187,10,FT
0.2215607,10,FT
0.2918452,10,FT
8.2118117,10,M1
0.1139981,10,K1
0.1327553,10,KM
8.1077849,10,M1
8.0779631,10,M1
0.1152753,10,K1
0.1772386,10,K1
0.1030089,10,KM
0.1882859,10,KM
8.2117084,10,M1
8.3524203,10,M1
0.7172282,10,WIN
0.1577855,10,K1
0.1518038,10,K1
8.6114124,10,M1
8.3543949,10,M1
0.1622813,10,KM
8.3908842,10,M1
0.1479307,10,KM
0.1213171,10,K1
0.5842672,10,WIN
0.1494711,10,K1
8.5297435,10,M1
0.1541353,10,K1
0.1507091,10,KM
0.1452674,10,KM
0.1150397,10,K1
0.1464801,10,KM
0.1355188,10,KM
0.8427473,10,WIN
0.7657854,10,WIN
8.9464589,10,M1
0.8743431,10,WIN
0.7583107,10,WIN
0.1443138,10,K1
0.8627,10,WIN
0.108485,10,KM
0.7253512,10,WIN
0.8723578,10,WIN
0.6472701,10,WIN
19.7089784,50,VI
19.8446424,50,VI
0.2961901,50,PAI
0.3583547,50,PAI
20.3614554,50,VI
20.3833522,50,VI
20.5000003,50,VI
20.5646817,50,VI
20.5662963,50,VI
3.6967591,10,PPI
20.7129188,50,VI
0.3571124,50,PAI
0.3684722,50,PAI
20.7950105,50,VI
20.8268858,50,VI
0.3848632,50,PAI
0.3208956,50,PAI
0.3206615,50,PAI
0.3246246,50,PAI
3.9526717,10,PPI
0.329031,50,PAI
0.3987619,50,PAI
3.8988053,10,PPI
4.1779822,10,PPI
4.3037461,10,PPI
4.1875163,10,PPI
4.3684879,10,PPI
4.3625239,10,PPI
4.415103,10,PPI
4.7001823,10,PPI
19.330048,50,HK
19.3746095,50,HK
39.7420769,100,VI
39.9044912,100,VI
39.9718777,100,VI
40.0911608,100,VI
0.857253,50,FT
0.5305916,100,PAI
40.2809561,100,VI
40.3272895,100,VI
0.5055639,100,PAI
0.8825935,50,FT
40.4830423,100,VI
0.5486201,100,PAI
0.5051662,100,PAI
19.9564699,50,HK
19.8776859,50,HK
40.7437744,100,VI
20.0870708,50,HK
0.5381881,100,PAI
40.8558746,100,VI
0.5293251,100,PAI
20.2070351,50,HK
41.0902189,100,VI
0.5948836,100,PAI
20.3025655,50,HK
0.5839698,100,PAI
20.4535925,50,HK
0.5952635,100,PAI
20.5071202,50,HK
0.5791938,100,PAI
1.1556367,50,FT
1.1462651,50,FT
1.1517037,50,FT
0.9287295,50,FT
20.8747958,50,HK
0.9674338,50,FT
0.9348825,50,FT
0.9360753,50,FT
0.9410897,50,FT
37.2170876,50,M1
37.2565264,100,HK
37.3278664,50,M1
0.5370434,50,K1
0.526991,50,K1
0.4797248,50,KM
37.960956,100,HK
38.5898894,100,HK
0.5784744,50,KM
1.6950112,100,FT
38.630379,100,HK
39.0811356,100,HK
39.4868429,100,HK
38.1826836,50,M1
38.4380616,50,M1
1.7627798,100,FT
38.4178321,50,M1
38.4897581,50,M1
0.5620793,50,K1
1.8112355,100,FT
0.5330593,50,K1
0.4997509,50,K1
0.5541844,50,K1
2.6439366,50,WIN
40.0945963,100,HK
1.3635183,100,FT
0.64299,50,KM
39.1866278,50,M1
1.8122626,100,FT
38.7837122,50,M1
0.4642455,50,KM
0.6369611,50,KM
39.070402,50,M1
0.5817819,50,KM
40.4641074,100,HK
40.3755469,100,HK
1.8265926,100,FT
0.5442916,50,K1
0.5977971,50,K1
0.5354215,50,K1
3.2225251,50,WIN
40.5854084,100,HK
39.3721822,50,M1
0.4886631,50,KM
0.4920447,50,KM
0.4865746,50,KM
0.5284662,50,K1
1.8667658,100,FT
0.5892974,50,KM
1.8893987,100,FT
1.8709049,100,FT
2.7445588,50,WIN
2.7194904,50,WIN
1.9124993,100,FT
3.252036,50,WIN
3.2673985,50,WIN
2.7514967,50,WIN
2.7521215,50,WIN
2.7346362,50,WIN
3.3123602,50,WIN
17.6647766,50,PPI
17.6911402,50,PPI
18.4260254,50,PPI
18.6229714,50,PPI
18.2633232,50,PPI
18.2908236,50,PPI
18.7389003,50,PPI
18.7417679,50,PPI
18.8023397,50,PPI
18.7788637,50,PPI
63.3233571,100,M1
0.9146884,100,K1
63.9862963,100,M1
0.7644159,100,KM
1.0597889,100,K1
64.1345996,100,M1
65.0136833,100,M1
64.5816365,100,M1
0.7580135,100,KM
0.9272492,100,K1
0.9237773,100,K1
0.9507916,100,K1
65.2834002,100,M1
0.7726743,100,KM
0.7666575,100,KM
0.7772583,100,KM
0.8709856,100,K1
65.4383979,100,M1
4.2097384,100,WIN
64.9918087,100,M1
65.0928781,100,M1
0.8066851,100,KM
0.9625104,100,K1
65.4073326,100,M1
0.9549742,100,K1
0.8399439,100,K1
0.7959129,100,KM
0.7849775,100,KM
0.7721505,100,KM
4.335272,100,WIN
0.9630201,100,K1
0.7673223,100,KM
4.3158336,100,WIN
4.441195,100,WIN
4.3506583,100,WIN
