time,state_number,algorithm
80.6928745,10,VI
81.0090163,10,VI
0.4860224,10,PAI
0.4383981,10,PAI
81.6632904,10,VI
0.5181824,10,PAI
83.7934581,10,VI
0.5600583,10,PAI
84.6976474,10,VI
0.5434612,10,PAI
85.6603496,10,VI
85.8148064,10,VI
85.870247,10,VI
0.5277112,10,PAI
0.7071903,10,PAI
0.6613927,10,PAI
86.9412295,10,VI
87.0123748,10,VI
87.161372,10,VI
0.383514,10,PAI
0.4657681,10,PAI
0.4368935,10,PAI
87.8922959,10,VI
88.0140014,10,VI
0.5746176,10,PAI
0.5240171,10,PAI
88.9285786,10,VI
0.5475513,10,PAI
91.8063338,10,VI
92.284088,10,VI
0.5599337,10,PAI
0.5776194,10,PAI
94.0876976,10,VI
0.5690627,10,PAI
94.8343126,10,VI
0.6298613,10,PAI
97.0495037,10,VI
0.7601943,10,PAI
109.1805465,10,VI
0.7753923,10,PAI
127.312523,10,HK
126.9825756,10,HK
1.5414593,10,FT
1.2805525,10,FT
127.4748335,10,HK
133.0129234,10,HK
2.3756864,10,FT
1.2734853,10,FT
134.3683722,10,HK
133.6993656,10,HK
132.6597665,10,HK
1.6569314,10,FT
1.508737,10,FT
1.4894355,10,FT
136.372752,10,HK
134.6082439,10,HK
134.6317617,10,HK
133.7761427,10,HK
135.988172,10,HK
136.6353028,10,HK
1.2833508,10,FT
138.0536615,10,HK
1.5182412,10,FT
1.9018556,10,FT
1.8440127,10,FT
1.6387596,10,FT
3.3249836,10,FT
2.3091578,10,FT
136.4669795,10,HK
137.0590663,10,HK
1.1679917,10,FT
136.2195689,10,HK
2.2356488,10,FT
1.554966,10,FT
139.907467,10,HK
1.4115857,10,FT
139.5718855,10,HK
1.7973885,10,FT
146.6355076,10,HK
4.8047624,10,FT
202.2230204,10,M1
0.5342648,10,K1
0.4829127,10,KM
203.6487989,10,M1
0.5304036,10,K1
0.5658326,10,KM
203.3855573,10,M1
0.5069703,10,K1
0.7087161,10,KM
200.9847688,10,M1
0.6033904,10,K1
203.1274659,10,M1
0.556389,10,KM
0.6175946,10,K1
11.2784552,10,WIN
0.7909742,10,KM
201.0006922,10,M1
199.5596814,10,M1
11.2860944,10,WIN
0.6427841,10,K1
202.0049701,10,M1
205.3463704,10,M1
0.637598,10,K1
0.7084536,10,KM
0.5470839,10,KM
0.6572132,10,K1
0.831704,10,K1
0.6686027,10,KM
0.4362762,10,KM
203.0077538,10,M1
0.7889947,10,K1
0.8707339,10,KM
11.7977409,10,WIN
208.5978974,10,M1
0.5677145,10,K1
0.6089174,10,KM
203.7288757,10,M1
202.1876722,10,M1
210.1529652,10,M1
203.3268801,10,M1
0.7155213,10,K1
0.6884412,10,K1
0.7054494,10,K1
0.7616492,10,KM
0.937364,10,K1
12.2981965,10,WIN
0.6466183,10,KM
0.7649403,10,KM
0.7343072,10,KM
210.8717142,10,M1
11.9038851,10,WIN
0.5506856,10,K1
0.464189,10,KM
12.3827136,10,WIN
12.5926524,10,WIN
12.4900836,10,WIN
12.566269,10,WIN
205.8794577,10,M1
0.6865371,10,K1
0.7257102,10,KM
13.3522124,10,WIN
12.5573463,10,WIN
208.635928,10,M1
12.402846,10,WIN
12.3199388,10,WIN
0.9192349,10,K1
12.3785116,10,WIN
13.0313473,10,WIN
1.0699418,10,KM
12.4472805,10,WIN
12.9494139,10,WIN
12.9096716,10,WIN
268.0438547,10,M1
0.699826,10,K1
0.8706859,10,KM
223.4172265,10,M1
0.8371892,10,K1
0.968376,10,KM
499.0462227,50,VI
499.372796,50,VI
14.9818831,10,WIN
1.4439084,50,PAI
13.9988534,10,WIN
1.6236496,50,PAI
502.55532,50,VI
1.6649842,50,PAI
504.9476631,50,VI
1.33049,50,PAI
507.5626964,50,VI
507.7244319,50,VI
1.6853161,50,PAI
509.3396637,50,VI
1.678938,50,PAI
510.2652257,50,VI
1.3612085,50,PAI
86.8200889,10,PPI
1.6560844,50,PAI
514.2534533,50,VI
514.6329624,50,VI
88.5038459,10,PPI
515.2841537,50,VI
1.4263796,50,PAI
1.6756738,50,PAI
516.5513036,50,VI
516.6193523,50,VI
1.4579861,50,PAI
1.7602527,50,PAI
1.6967969,50,PAI
518.9012556,50,VI
519.536931,50,VI
1.4318985,50,PAI
1.7933862,50,PAI
90.9938959,10,PPI
92.1046857,10,PPI
93.1221893,10,PPI
530.1970158,50,VI
531.6059343,50,VI
1.8346096,50,PAI
1.4704197,50,PAI
533.8696727,50,VI
534.5981372,50,VI
94.171121,10,PPI
95.3529083,10,PPI
1.7497992,50,PAI
95.3044477,10,PPI
1.4117459,50,PAI
96.2514464,10,PPI
539.509336,50,VI
95.8806051,10,PPI
1.5796439,50,PAI
94.3391561,10,PPI
94.4311289,10,PPI
95.4769861,10,PPI
96.0425846,10,PPI
97.1025512,10,PPI
95.3935736,10,PPI
99.1533852,10,PPI
96.5951832,10,PPI
94.5956048,10,PPI
95.5668497,10,PPI
256.2533397,50,HK
261.1075841,50,HK
1.8165007,50,FT
1.8214988,50,FT
262.6537615,50,HK
764.0048255,100,VI
258.4851566,50,HK
1.0601413,100,PAI
765.4123397,100,VI
765.4454284,100,VI
2.1418643,50,FT
1.0168326,100,PAI
1.2472311,100,PAI
2.0892393,50,FT
257.5473819,50,HK
766.9897601,100,VI
1.0066361,100,PAI
768.3282064,100,VI
1.728999,50,FT
768.9644224,100,VI
259.7944209,50,HK
1.029377,100,PAI
769.4009476,100,VI
259.0760199,50,HK
1.0157107,100,PAI
254.7481349,50,HK
1.0246281,100,PAI
258.5502332,50,HK
1.7575704,50,FT
254.3967092,50,HK
771.307346,100,VI
771.7803127,100,VI
255.5349496,50,HK
2.1721703,50,FT
1.6985758,50,FT
1.8047879,50,FT
1.0492418,100,PAI
772.7545382,100,VI
1.0860971,100,PAI
1.7615658,50,FT
255.2837188,50,HK
1.7596394,50,FT
1.2867426,100,PAI
1.769226,50,FT
775.3633217,100,VI
257.2044508,50,HK
255.3695347,50,HK
775.959777,100,VI
1.1175202,100,PAI
776.9556131,100,VI
1.1387453,100,PAI
1.84254,50,FT
2.2788905,50,FT
256.6491474,50,HK
1.1061484,100,PAI
778.1559699,100,VI
778.4748963,100,VI
778.7371793,100,VI
1.3380648,100,PAI
1.1083768,100,PAI
1.3049281,100,PAI
2.3803534,50,FT
780.4926917,100,VI
780.6802236,100,VI
1.1407257,100,PAI
1.1211971,100,PAI
782.3326717,100,VI
1.2961379,100,PAI
